,country,country_code,land_size,avg_temp_2022,solar_consumption_twh_2022,latest_gdp
40,Afghanistan,AFG,652860,13.753045,0.08,14502158192
140,Albania,ALB,27400,13.501858,0.04,18916378861
9,Algeria,DZA,2381740,24.677412,0.66,2.2556E+11
205,American Samoa,ASM,200,26.570168,0.01,871000000
187,Andorra,AND,470,7.224482,,3380602043
22,Angola,AGO,1246700,22.30004,0.02,1.044E+11
211,Anguilla,AIA,90,26.18747,,
191,Antigua and Barbuda,ATG,440,26.1707,0.02,1867733333
7,Argentina,ARG,2736690,14.760658,2.94,6.31133E+11
138,Armenia,ARM,28470,7.4087377,0.33,19513474648
207,Aruba,ABW,180,,0.01,3544707788
5,Australia,AUS,7682300,21.874123,38.84,1.69296E+12
112,Austria,AUT,82409,8.097907,3.79,4.70942E+11
111,Azerbaijan,AZE,82658,13.039871,0.06,78807470588
156,Bahamas,BHS,10010,26.016615,0,13136400000
179,Bahrain,BHR,760,26.528946,0.01,44383297872
91,Bangladesh,BGD,130170,25.798594,0.53,4.60132E+11
192,Barbados,BRB,430,,0.08,5840673700
83,Belarus,BLR,202910,7.840263,0.17,73775179925
136,Belgium,BEL,30280,11.511917,6.88,5.83614E+11
147,Belize,BLZ,22810,25.980934,0.01,2830507576
99,Benin,BEN,112760,27.635445,0.02,17425418044
213,Bermuda,BMU,50,,0,7827980000
132,Bhutan,BTN,38117,8.862023,0,2898227713
27,Bolivia,BOL,1083300,20.415659,0.35,44008282880
124,Bosnia and Herzegovina,BIH,51000,11.637626,0.14,24534663636
46,Botswana,BWA,566730,21.776215,0.01,20321958850
4,Brazil,BRA,8358140,24.793854,30.13,1.95192E+12
209,British Virgin Islands,VGB,150,,0,
167,Brunei Darussalam,BRN,5270,26.47915,0,16681536467
102,Bulgaria,BGR,108560,12.220025,2.09,90346169915
73,Burkina Faso,BFA,273600,28.58935,0.12,18820219331
142,Burundi,BDI,25680,21.01237,0.01,3338722828
170,Cabo Verde,CPV,4030,22.96113,0.01,2303738020
87,Cambodia,KHM,176520,27.315725,0.39,29504829319
53,Cameroon,CMR,472710,24.776964,0.02,43644068311
1,Canada,CAN,9093510,-3.5735462,6.01,2.16148E+12
197,Caribbean Netherlands,,328,,,48138054139
200,Cayman Islands,CYM,240,27.112656,0.02,6600844002
42,Central African Republic,CAF,622980,26.416174,0,2382618615
20,Chad,TCD,1259200,27.191803,0,12396807590
37,Chile,CHL,743532,8.847705,14.52,3.02117E+11
2,China,CHN,9388211,7.7845435,427.72,1.78818E+13
216,"China, Macao SAR",MAC,30,,0,
25,Colombia,COL,1109500,23.944685,0.33,3.4533E+11
174,Comoros,COM,1861,24.918266,0,1242519408
64,Congo,COG,341500,25.10363,0,15817030157
204,Cook Islands,COK,240,24.696386,0.02,
125,Costa Rica,CRI,51060,22.86473,0.07,69243626029
123,Croatia,HRV,55960,13.256785,0.15,71997070660
103,Cuba,CUB,106440,25.843824,0.27,
190,Curaçao,CUW,444,,,3073840325
164,Cyprus,CYP,9240,19.876183,0.6,29250532020
114,Czechia,CZE,77240,9.545543,2.63,2.90566E+11
129,Denmark,DNK,42430,9.672769,2.2,4.00167E+11
146,Djibouti,DJI,23180,28.6457,0,3674298479
180,Dominica,DMA,750,,0,607159259.3
127,Dominican Republic,DOM,48320,24.461134,0.56,1.13537E+11
10,DR Congo,COD,2267050,24.597366,0.01,65801547620
72,Ecuador,ECU,248360,20.849049,0.04,1.16586E+11
29,Egypt,EGY,995450,22.952957,5.03,4.76748E+11
148,El Salvador,SLV,20720,26.300398,1.03,31988920000
141,Equatorial Guinea,GNQ,28050,24.207634,0,13486788879
98,Eritrea,ERI,101000,27.221176,0.01,
128,Estonia,EST,42390,6.9465466,0.6,37921480882
154,Eswatini,SWZ,17200,19.886293,0,4790922789
26,Ethiopia,ETH,1000000,23.955854,0.04,1.26773E+11
175,Faeroe Islands,FRO,1396,7.5369606,0,3555929833
159,Falkland Islands,FLK,12170,6.834699,0,
152,Fiji,FJI,18270,25.078568,0.01,4979979531
65,Finland,FIN,303890,3.647619,0.39,2.81887E+11
48,France,FRA,547557,14.760941,19.64,2.77909E+12
169,French Polynesia,PYF,3660,24.946661,0.05,5814661209
75,Gabon,GAB,257670,24.938425,0,21071739228
162,Gambia,GMB,10120,27.822504,0,2175099790
118,Georgia,GEO,69490,8.708571,0,24984568960
62,Germany,DEU,348560,10.615896,60.79,4.08247E+12
79,Ghana,GHA,227540,27.497313,0.13,74263364042
219,Gibraltar,GIB,10,,0,
94,Greece,GRC,128900,15.434794,7.14,2.17581E+11
11,Greenland,GRL,410450,-17.211794,0,3235809504
196,Grenada,GRD,340,,0.01,1224577778
186,Guam,GUM,540,,0.09,6910000000
104,Guatemala,GTM,107160,23.385332,0.24,95003330316
76,Guinea,GIN,245720,26.192518,0.02,20999229260
134,Guinea-Bissau,GNB,28120,27.651373,0,1714166526
82,Guyana,GUY,196850,25.142921,0.01,14718388489
143,Haiti,HTI,27560,25.221191,0,20253551921
100,Honduras,HND,111890,23.793299,1.19,31426041807
107,Hungary,HUN,90530,12.36705,4.73,1.77006E+11
105,Iceland,ISL,100250,1.7226979,0,28701830402
6,India,IND,2973190,24.436869,95.16,3.35347E+12
14,Indonesia,IDN,1811570,25.424925,0.44,1.31908E+12
17,Iran,IRN,1628550,19.529406,0.73,4.13395E+11
58,Iraq,IRQ,434320,23.95188,0.06,2.8664E+11
117,Ireland,IRL,68890,10.484401,0.15,5.3314E+11
185,Isle of Man,IMN,570,11.133789,,7931193222
149,Israel,ISR,21640,20.61601,7.35,5.25002E+11
71,Italy,ITA,294140,14.372943,28.12,2.06697E+12
161,Jamaica,JAM,10830,26.128754,0.14,17097760687
61,Japan,JPN,364555,12.688271,102.4,4.25641E+12
109,Jordan,JOR,88780,20.079763,3.37,48653381831
8,Kazakhstan,KAZ,2699700,7.812956,1.7,2.25496E+11
47,Kenya,KEN,569140,25.657227,0.38,1.1342E+11
178,Kiribati,KIR,810,25.858988,0,270520731.6
153,Kuwait,KWT,17820,27.152597,0.17,1.82809E+11
84,Kyrgyzstan,KGZ,191800,1.4229231,0,12134931018
81,Laos,LAO,230800,23.366999,0.06,15468785204
121,Latvia,LVA,62200,7.2791843,0.04,40422521943
163,Lebanon,LBN,10230,16.012411,0.3,20992421949
137,Lesotho,LSO,30360,11.5804825,0,2289355249
101,Liberia,LBR,96320,25.526346,0,4001047000
16,Libya,LBY,1759540,22.604887,0.01,55938727098
208,Liechtenstein,LIE,160,,,7364654515
120,Lithuania,LTU,62674,7.830179,0.34,71013953448
172,Luxembourg,LUX,2590,10.905852,0.28,81641807866
45,Madagascar,MDG,581795,22.62221,0.04,15302510500
97,Malawi,MWI,94280,22.025688,0.17,13129458326
67,Malaysia,MYS,328550,25.644623,2.72,4.07027E+11
199,Maldives,MDV,300,,0.06,6170638746
23,Mali,MLI,1220190,28.895906,0.03,18780322204
198,Malta,MLT,320,,0.29,18357069273
206,Marshall Islands,MHL,180,,,258774475.1
28,Mauritania,MRT,1030700,28.098417,0.14,9744039515
173,Mauritius,MUS,2030,23.310404,0.16,12927979286
13,Mexico,MEX,1943950,20.961395,19.27,1.46332E+12
183,Micronesia,FSM,700,,,430000000
135,Moldova,MDA,32850,11.363873,0.03,14510490660
220,Monaco,MCO,1,,,8784002932
18,Mongolia,MNG,1553560,1.6026837,0.17,17146471714
157,Montenegro,MNE,13450,10.694637,0,6229801581
210,Montserrat,MSR,100,,0,
57,Morocco,MAR,446300,19.794245,1.45,1.30913E+11
35,Mozambique,MOZ,786380,24.049599,0.07,18406835495
39,Myanmar,MMR,653290,23.985641,0.1,62253049892
34,Namibia,NAM,823290,21.569597,0.5,12567271005
218,Nauru,NRU,20,,0,153824609.5
92,Nepal,NPL,143350,13.707316,0.14,41182939601
130,Netherlands,NLD,33720,11.535527,17.08,1.0094E+12
151,New Caledonia,NCL,18280,23.495764,0.18,9623318718
74,New Zealand,NZL,263310,11.447201,0.21,2.46734E+11
95,Nicaragua,NIC,120340,25.396154,0.03,15649934215
21,Niger,NER,1266700,27.365156,0.05,15433852712
31,Nigeria,NGA,910770,26.972397,0.05,4.72625E+11
202,Niue,NIU,260,,0,
96,North Korea,PRK,120410,7.315104,0.07,
68,Norway,NOR,365268,1.6485581,0.17,5.93727E+11
70,Oman,OMN,309500,28.09234,0.27,1.14667E+11
33,Pakistan,PAK,770880,21.193567,1.3,3.74788E+11
188,Palau,PLW,460,,,242333709.7
115,Panama,PAN,74340,24.78438,0.65,76522511781
54,Papua New Guinea,PNG,452860,24.158249,0,31603619037
59,Paraguay,PRY,397300,24.039278,0,41952910858
19,Peru,PER,1280000,18.889887,0.82,2.46489E+11
63,Philippines,PHL,298170,26.220366,1.58,4.04353E+11
69,Poland,POL,306230,9.540874,8.31,6.89763E+11
108,Portugal,PRT,91590,16.392904,3.52,2.55197E+11
165,Puerto Rico,PRI,8870,25.26732,0.28,1.13567E+11
160,Qatar,QAT,11610,28.350912,0.01,2.3577E+11
145,Republic of North Macedonia,MKD,25220,11.711989,0.03,13711469681
80,Romania,ROU,230170,10.909577,1.99,2.98892E+11
0,Russia,RUS,16376870,-2.536545,2.4,2.26603E+12
144,Rwanda,RWA,24670,19.858574,0.02,13316160804
193,Saint Helena,SHN,390,21.666803,0,
201,Saint Kitts and Nevis,KNA,260,,0,981429629.6
184,Saint Lucia,LCA,610,,0,2343703788
214,Saint Martin,MAF,53,,,649206262.8
215,Saint Martin,,53,,,1537088715
203,Saint Pierre and Miquelon,SPM,230,,0,
194,Saint Vincent and the Grenadines,VCT,390,26.35118,0,966492592.6
171,Samoa,WSM,2830,25.102835,0.02,832945205.6
212,San Marino,SMR,60,,,1855382833
176,Sao Tome and Principe,STP,960,25.753723,0,542686976.5
12,Saudi Arabia,SAU,2149690,26.830564,0.83,1.10857E+12
85,Senegal,SEN,192530,28.775978,0.84,27619479060
110,Serbia,SRB,87460,11.987626,0.01,63563410721
189,Seychelles,SYC,460,26.38857,0.08,2057968520
116,Sierra Leone,SLE,72180,26.21601,0.01,4094563859
182,Singapore,SGP,700,,0.67,4.98475E+11
126,Slovakia,SVK,48088,9.690228,0.65,1.15585E+11
150,Slovenia,SVN,20140,11.363139,0.65,60063475466
139,Solomon Islands,SLB,27990,26.569298,0,1566360686
41,Somalia,SOM,627340,26.891144,0.03,10419541202
24,South Africa,ZAF,1213090,18.121737,10.13,4.05271E+11
106,South Korea,KOR,97230,12.797881,26.97,1.67392E+12
43,South Sudan,SSD,610952,28.355642,0.02,
51,Spain,ESP,498800,15.45301,35.72,1.4178E+12
119,Sri Lanka,LKA,62710,26.444494,0.68,74144875098
166,State of Palestine,PSE,6020,20.676641,0.21,
15,Sudan,SDN,1765048,27.167372,0.04,51666875363
89,Suriname,SUR,156000,25.610128,0.01,3620987993
55,Sweden,SWE,410340,4.5006557,1.98,5.9041E+11
131,Switzerland,CHE,39516,7.114416,3.37,8.18427E+11
86,Syria,SYR,183630,19.797052,0,8980060819
133,Taiwan,TWN,35410,,10.68,
93,Tajikistan,TJK,139960,1.367432,0,10713525200
30,Tanzania,TZA,885800,22.918306,0.05,75769974505
50,Thailand,THA,510890,26.370134,4.88,4.95645E+11
155,Timor-Leste,TLS,14870,24.794876,0,3204753000
122,Togo,TGO,54390,27.016562,0.06,8169476149
181,Tonga,TON,720,,0.01,500274898.1
168,Trinidad and Tobago,TTO,5130,26.083494,0.01,30053575132
90,Tunisia,TUN,155360,21.433487,0.32,44579761023
36,Turkey,TUR,769630,12.206685,15.16,9.07118E+11
52,Turkmenistan,TKM,469930,17.670692,0,56542857143
177,Turks and Caicos Islands,TCA,950,,0,1228794383
217,Tuvalu,TUV,30,,,59065982.09
78,Uganda,UGA,199810,23.551188,0.13,45565333216
44,Ukraine,UKR,579320,9.909951,5.08,1.6199E+11
113,United Arab Emirates,ARE,83600,28.87343,6.96,5.07064E+11
77,United Kingdom,GBR,241930,10.327692,13.92,3.08884E+12
3,United States,USA,9147420,9.867095,205.08,2.57441E+13
195,United States Virgin Islands,VIR,350,26.37293,0.02,4444000000
88,Uruguay,URY,175020,17.20147,0.5,70164683290
56,Uzbekistan,UZB,425400,14.403211,0.01,81140823252
158,Vanuatu,VUT,12190,25.696724,0.01,1022219298
32,Venezuela,VEN,882050,25.282866,0.01,
66,Vietnam,VNM,310070,23.972029,26.37,4.10324E+11
49,Yemen,YEM,527970,25.867548,0.6,
38,Zambia,ZMB,743390,21.91826,0.14,29163782140
60,Zimbabwe,ZWE,386850,21.591951,0.03,27366627153
